,Municipality,Municipality Latitude,Municipality Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Aa en Hunze,52.98143929999999,6.72945206177796,Evertshuis,53.0188427,6.5958905,Movie Theater
1,Aalsmeer,52.265834399999996,4.766170039669309,CineMeerse,52.30175696243503,4.69554693601281,Movie Theater
2,Aalsmeer,52.265834399999996,4.766170039669309,Kinepolis Hoofddorp,52.301938,4.69553,Movie Theater
3,Aalsmeer,52.265834399999996,4.766170039669309,Disney HQ Cinema,52.29199957989647,4.6994036552580996,Movie Theater
4,Aalsmeer,52.265834399999996,4.766170039669309,Het Oude Raadhuis,52.305424515853566,4.691935123056498,Theater
5,Aalsmeer,52.265834399999996,4.766170039669309,Cinema Bijl,52.24312275819491,4.660929954153217,Indie Movie Theater
6,Aalsmeer,52.265834399999996,4.766170039669309,Disney's Movie Planes,52.307,4.761681,Movie Theater
7,Aalsmeer,52.265834399999996,4.766170039669309,Movie Night,52.307066,4.880991,Multiplex
8,Aalsmeer,52.265834399999996,4.766170039669309,Bioscoop Vincenzzo,52.335619,4.774523,Multiplex
9,Aalsmeer,52.265834399999996,4.766170039669309,roerdomp movie theatre,52.255035400390625,4.759197235107422,Movie Theater
10,Aalsmeer,52.265834399999996,4.766170039669309,Snel Cinema,52.29486,4.660766,Movie Theater
11,Aalsmeer,52.265834399999996,4.766170039669309,Cinema Amstelveen,52.302696679207465,4.859295277039628,Multiplex
12,Aalsmeer,52.265834399999996,4.766170039669309,Pathe Rembrandt,52.305118560791016,4.678977966308594,Movie Theater
13,Aalsmeer,52.265834399999996,4.766170039669309,ZW 75,52.294963543972926,4.86295223236084,Bowling Alley
14,Aalsmeer,52.265834399999996,4.766170039669309,Hanoff Video Productions,52.25949816541646,4.729261456116557,Movie Theater
15,Aalsmeer,52.265834399999996,4.766170039669309,Crown Cinema,52.26975414444927,4.754218391476597,Movie Theater
16,Aalsmeer,52.265834399999996,4.766170039669309,B.cinema,52.34309,4.8293047,Movie Theater
17,Aalsmeer,52.265834399999996,4.766170039669309,Home Theatre,52.20331573486328,4.8631391525268555,Movie Theater
18,Aalsmeer,52.265834399999996,4.766170039669309,Braam & Braam bv,52.28279644516513,4.765384197235107,Multiplex
19,Aalsmeer,52.265834399999996,4.766170039669309,Dj D-Rush,52.31809,4.64783,Movie Theater
20,Aalsmeer,52.265834399999996,4.766170039669309,B&O Flagship Store,52.340784,4.778914,Multiplex
21,Aalsmeer,52.265834399999996,4.766170039669309,43 Delta,52.294214,4.761981,Movie Theater
22,Aalsmeer,52.265834399999996,4.766170039669309,Griffioen Arguszaal,52.3186909931577,4.878320839897239,Movie Theater
23,Aalsmeer,52.265834399999996,4.766170039669309,cimemeerse,52.3040771484375,4.691915035247803,Movie Theater
24,Aalsmeer,52.265834399999996,4.766170039669309,Videoland,52.30198264791418,4.663597808443661,Movie Theater
25,Aalten,51.92856679999999,6.5809017999999995,Het Doek,51.987209,6.572485,Movie Theater
26,Achtkarspelen,53.20751675,6.15076370517544,Filmhuis Oostenburg,53.28519669840694,6.1466652866847635,Movie Theater
27,Alblasserdam,51.8599524,4.666202275442481,Kinepolis,51.8156813305359,4.681902020989055,Multiplex
28,Alblasserdam,51.8599524,4.666202275442481,BoeroeBios,51.80805203511048,4.688334091984179,Movie Theater
29,Alblasserdam,51.8599524,4.666202275442481,Film At Kinderdyjk,51.88771,4.639493,Movie Theater
30,Alblasserdam,51.8599524,4.666202275442481,The Movies,51.81442807651043,4.6705501660582,Movie Theater
31,Alblasserdam,51.8599524,4.666202275442481,landvast cinema 1,51.861117384648765,4.657857605879038,Movie Theater
32,Alblasserdam,51.8599524,4.666202275442481,tv: lost,51.86104202270508,4.664002895355225,Movie Theater
33,Alblasserdam,51.8599524,4.666202275442481,Das Jaeger filmhause,51.81870651245117,4.650973320007324,Movie Theater
34,Alblasserdam,51.8599524,4.666202275442481,Westerbioscoop,51.88813861330524,4.548366665840149,Movie Theater
35,Alblasserdam,51.8599524,4.666202275442481,Lively Entertainment,51.8060476,4.556975,Movie Theater
36,Alblasserdam,51.8599524,4.666202275442481,Chateau Blumo Cinema,51.85120430318624,4.533763416298678,Movie Theater
37,Alblasserdam,51.8599524,4.666202275442481,Jacques' BIOSCOOP,51.840335,4.640725,Movie Theater
38,Alblasserdam,51.8599524,4.666202275442481,Bioscoop JWZ,51.82136154174805,4.644771099090576,Multiplex
39,Alblasserdam,51.8599524,4.666202275442481,Medische fotografie Maasstad,51.87984848022461,4.534657955169678,Movie Theater
40,Alblasserdam,51.8599524,4.666202275442481,Cinode,51.813746,4.676943,Indie Movie Theater
41,Alblasserdam,51.8599524,4.666202275442481,Dora's world,51.93529080757449,4.605330232632899,Movie Theater
42,Alblasserdam,51.8599524,4.666202275442481,:o,51.80195617675781,4.681022644042969,Multiplex
